Feature,Importance
PAY_0,0.34496963
total_delay,0.118800215
PAY_2,0.079445794
avg_payment,0.037780177
PAY_4,0.030136578
avg_bill,0.027490547
PAY_3,0.026101518
PAY_AMT3,0.021925395
PAYMENT_RATIO,0.020050937
UTILIZATION,0.019418009
LIMIT_BAL,0.019333808
PAY_AMT2,0.01775201
PAY_AMT1,0.017605556
BILL_AMT1,0.01753647
BILL_AMT5,0.017362934
PAY_5,0.016857931
EDUCATION,0.016360383
PAY_6,0.0159966
BILL_AMT2,0.015654922
PAY_AMT4,0.015252879
BILL_AMT4,0.0142480675
BILL_AMT3,0.013979505
PAY_AMT6,0.013110796
SEX,0.012905363
MARRIAGE,0.012743901
PAY_AMT5,0.012584907
AGE,0.012481827
BILL_AMT6,0.01211332
